name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Private Room & Private bathroom 2mins to subway!,Sara,Brooklyn,Bedford-Stuyvesant,40.6778,-73.9135,Private room,65,1,140,2019-06-30,5.00,1,144
Great room in Washington heights!,Mike,Manhattan,Washington Heights,40.85022,-73.92903,Private room,50,4,9,2018-09-29,0.33,1,83
"Cozy, Private Guest Bedroom In A Great Location",Cara,Brooklyn,Crown Heights,40.67247,-73.94421,Private room,65,1,51,2018-06-28,1.83,1,0
Hip One Bedroom Apartment in NYC's East Village,Kelly,Manhattan,East Village,40.72864,-73.98102,Entire home/apt,200,5,2,2018-09-25,0.07,1,0
Private Room!,Lola,Manhattan,Upper East Side,40.76578,-73.95443,Private room,150,2,61,2019-06-16,2.85,2,287
Private Room in Brooklyn,Autumn,Brooklyn,Crown Heights,40.67186,-73.94094,Private room,50,1,6,2018-08-28,0.21,1,0
Beautiful sunny studio.,Atherly,Brooklyn,Flatbush,40.64765,-73.95804,Private room,90,2,45,2019-06-30,1.64,1,363
Brand new studio in high rise,Joe,Brooklyn,Downtown Brooklyn,40.69383,-73.98539,Entire home/apt,180,14,1,2018-09-17,0.10,1,0
Dreamy Parkside Loft-Studio w/ Private Patio,Shelley,Brooklyn,Prospect-Lefferts Gardens,40.65531,-73.96161,Private room,50,4,6,2019-03-31,0.22,1,6
Sunny one bedroom on the Upper East Side,Mara,Manhattan,Upper East Side,40.7701,-73.9589,Entire home/apt,250,2,0,,,1,0
30 Minutes from Manhattan Apartment by South Beach,Mirco,Staten Island,Arrochar,40.59347,-74.06914,Entire home/apt,122,1,52,2019-06-23,2.00,3,219
Plymouth Loft,Christina,Brooklyn,DUMBO,40.70208,-73.98568,Entire home/apt,225,2,1,2018-04-14,0.07,1,88
Neat En-suite  room attached   PRIVATE full bath,Jimmy &Cindy,Queens,Flushing,40.75708,-73.81268,Private room,51,2,129,2019-06-23,4.63,10,355
Artist's Bitchin 1BR,Mathew,Brooklyn,Bushwick,40.69554,-73.92588,Entire home/apt,90,1,4,2017-05-12,0.14,1,0
Private Queen room&bathroom in NEW Luxury Building,Albert,Brooklyn,Gravesend,40.60044,-73.99341,Private room,79,1,2,2017-05-28,0.08,1,0
Duplex 5 BR apartment in a historic brownstone,Petra,Brooklyn,Bedford-Stuyvesant,40.68567,-73.93509,Entire home/apt,275,2,66,2019-06-28,2.42,1,23
Large room in Bushwick,Andrew,Brooklyn,Bushwick,40.69705,-73.92585,Private room,45,1,0,,,1,1
Bright and Clean One Bedroom - Females Only!,Alexi,Manhattan,East Village,40.72766,-73.98249,Private room,100,3,26,2018-10-21,0.94,1,0
"Eclectic, Comfortable, Quiet & Convenient on UWS",Bob,Manhattan,Upper West Side,40.7975,-73.97161,Entire home/apt,199,2,83,2019-06-30,3.01,1,37
Cute and Sunny Soho Room,Zoe,Manhattan,Nolita,40.72263,-73.99622,Private room,75,1,8,2017-04-30,0.28,1,0
Lovely Brown Stone Casa Curran,Michelle Curran,Brooklyn,Bushwick,40.695,-73.90755,Entire home/apt,145,7,25,2019-06-16,0.95,1,271
HALSEY HAVEN,Gretchen,Brooklyn,Bedford-Stuyvesant,40.68607,-73.92392,Entire home/apt,161,2,45,2019-06-24,1.65,2,270
Bedroom in Brooklyn Communal House,Emma,Brooklyn,Bedford-Stuyvesant,40.68116,-73.95726,Private room,45,2,14,2017-09-30,0.51,3,0
Large bright bedroom,Thai,Bronx,Pelham Gardens,40.86437,-73.83863,Private room,43,20,6,2019-06-23,0.69,2,104
Charming room in a spacious 3/1,Farah,Brooklyn,Bedford-Stuyvesant,40.68683,-73.94411,Private room,50,2,0,,,1,0
Sunny Brooklyn Home,Em,Brooklyn,Prospect Heights,40.67774,-73.96487,Entire home/apt,95,7,22,2019-06-23,0.78,1,13
Private room in cozy Astoria apartment,Yoko,Queens,Astoria,40.76121,-73.92341,Private room,60,2,40,2019-06-23,1.46,1,67
Spacious Apartment Near Yankee Stadium.,Crystal,Bronx,Morris Heights,40.84565,-73.91684,Entire home/apt,80,4,0,,,1,0
New 2 BDR apt/great location/20 mins to Manhattan,Svetlana,Brooklyn,Bath Beach,40.60353,-74.01599,Entire home/apt,180,3,46,2019-07-02,1.68,1,334
Quiet Studio in the ❤️of Hells Kitchen for 1 person,Lola,Manhattan,Hell's Kitchen,40.7606,-73.99345,Entire home/apt,150,8,8,2019-01-02,0.30,1,11
Private Cozy Large  Comfortable Bedroom.,Kevin,Staten Island,West Brighton,40.63116,-74.12278,Private room,49,2,45,2019-06-09,1.62,3,276
Adorable Bright Private Bedroom.,Kevin,Staten Island,West Brighton,40.63149,-74.12393,Private room,49,2,32,2019-06-29,1.14,3,315
5-STAR REVIEW 1 BEDROOM LINCOLN CENTER- BEST PRICE,Kevin,Manhattan,Upper West Side,40.77617,-73.98188,Entire home/apt,249,3,20,2019-06-29,0.84,1,63
Chic & zen room in a very clean Brooklyn apt,Thuy,Brooklyn,Bedford-Stuyvesant,40.6966,-73.93839,Private room,70,3,27,2019-06-01,1.81,1,0
Extra Cosy Room in Williamsburg,Arthur,Brooklyn,Williamsburg,40.70626,-73.95212,Private room,60,4,3,2017-08-07,0.12,1,0
Bayside Room  w/ 1 Bed,Christine,Queens,Bayside,40.74924,-73.75654,Private room,49,3,29,2019-06-16,1.07,5,96
Clean Cosy Bedroom w/Desk 10min to JFK & Big Mall,Christine & Einstein,Queens,Rosedale,40.65252,-73.73425,Private room,22,1,59,2019-05-17,2.10,1,0
Living Room in 2 Bedroom Apartment Brighton Beach,Anna,Brooklyn,Brighton Beach,40.58017,-73.9616,Shared room,50,1,1,2017-09-13,0.05,4,1
Cozy studio w/kitchen & bathroom. Great location,Elena,Manhattan,Upper East Side,40.7823,-73.94838,Entire home/apt,105,5,117,2019-06-23,4.29,3,187
Glam Private Bedroom 6 stops to Time Square,Brooklyn,Manhattan,Harlem,40.81184,-73.94488,Private room,89,3,49,2018-07-15,1.76,1,157
1 Bd furnished Bayridge Brooklyn NY,Ebada,Brooklyn,Fort Hamilton,40.62241,-74.02863,Entire home/apt,115,4,3,2019-05-19,0.48,3,295
Perfect bedroom. Near Subways Columbia CityCollege,Federico,Manhattan,Harlem,40.8153,-73.9508,Private room,65,2,18,2018-11-04,0.64,1,0
Guest BedRm in quaint NYC neighborhood. NEAR TRAIN,Nikolas,Queens,Astoria,40.76924,-73.91702,Private room,65,1,11,2019-06-17,3.24,1,9
1 br Woodside - close to LGA!,Caressa,Queens,Woodside,40.74176,-73.90631,Private room,35,1,0,,,1,0
Great room in a spacious Inwood Apartment,Max,Manhattan,Inwood,40.86348,-73.92232,Private room,99,3,4,2018-10-03,0.15,3,179
Bright Sanctuary in Williamsburg,Alexandra,Brooklyn,Williamsburg,40.70849,-73.96603,Private room,83,1,46,2019-06-25,1.69,2,192
"Private Room with Full Private Bath, cozy&quiet",Sean,Brooklyn,Williamsburg,40.70961,-73.94635,Private room,45,1,98,2019-06-27,3.53,1,44
elegant room in a spacious Inwood apartment,Max,Manhattan,Inwood,40.86448,-73.92351,Private room,99,3,0,,,3,180
Room in Queens NY  near LGA,Sonia,Queens,East Elmhurst,40.76075,-73.87943,Private room,55,1,296,2019-07-01,10.60,2,322
Brooklyn Beauty,Kara,Brooklyn,Bay Ridge,40.63431,-74.02552,Entire home/apt,100,3,25,2019-06-11,0.96,1,353
Prospect Heights Jewel,Ben,Brooklyn,Prospect Heights,40.67453,-73.96785,Entire home/apt,158,30,0,,,3,281
Private Room in Large Two-floor Apt w/ Backyard,Ashek,Manhattan,Chelsea,40.74864,-73.99398,Private room,89,2,2,2017-04-02,0.07,1,113
large light-filled bedroom in Bushwick!,Mabel,Brooklyn,Bushwick,40.70216,-73.92928,Private room,37,2,1,2017-05-08,0.04,1,0
Spacious Serene Large Room near L Train,Beth,Queens,Ridgewood,40.70886,-73.91742,Private room,60,1,1,2017-09-24,0.05,1,0
Bed in Family Home Near LGA Airport,Danielle,Queens,East Elmhurst,40.76389,-73.87155,Shared room,38,1,224,2019-07-06,7.96,5,80
Manhattan Hotel Room,Sasha,Manhattan,Midtown,40.76305,-73.97841,Entire home/apt,800,1,19,2017-06-24,0.69,2,0
Spacious Luxury Loft - 1BR,Kathleen,Manhattan,Gramercy,40.7345,-73.98482,Entire home/apt,325,6,11,2018-07-29,0.41,1,177
(4) Comfy Home Away From Home/Multiple Rooms,Pamela,Brooklyn,Bedford-Stuyvesant,40.6899,-73.95498,Private room,89,1,76,2019-06-30,2.77,4,358
"Clean, beautifully modernized, vintage apartment",Isaiah,Manhattan,Lower East Side,40.72194,-73.98941,Shared room,68,1,5,2017-06-18,0.18,1,0
Harlem Triplex,John,Manhattan,Harlem,40.80766,-73.94342,Entire home/apt,700,6,2,2018-04-08,0.09,2,72
Private Williamsburg SunDrenched Large  Studio,Lindsay,Brooklyn,Williamsburg,40.70987,-73.94756,Entire home/apt,210,2,35,2019-06-23,1.56,1,170
Greatly located Williamsburg 1BR ap,Charles,Brooklyn,Williamsburg,40.71164,-73.9572,Entire home/apt,150,30,5,2018-06-02,0.20,2,48
"Quiet, Comfortable Studio in Chelsea/Village",Julia,Manhattan,Chelsea,40.74128,-73.99986,Entire home/apt,139,1,0,,,1,0
MASTER SUITE IN THE CENTRAL PARK,Marilyn,Manhattan,East Harlem,40.79274,-73.94562,Private room,103,2,137,2019-07-06,5.12,4,208
"Perfect, cozy room in Crown Heights, Brooklyn",Luca,Brooklyn,Crown Heights,40.67181,-73.95865,Private room,45,25,2,2017-08-20,0.08,1,0
JUNIOR SUITE IN MANHATTAN,Marilyn,Manhattan,East Harlem,40.79142,-73.94664,Private room,90,2,110,2019-06-29,4.04,4,237
"Oversized one bedroom
Midtown, West 57 the St.",JoAnn,Manhattan,Hell's Kitchen,40.76722,-73.98568,Entire home/apt,227,5,6,2019-04-23,0.95,1,0
One Bedroom Apartment in Williamsburg Brooklyn,Todd,Brooklyn,Williamsburg,40.71869,-73.95158,Entire home/apt,100,2,1,2017-03-24,0.04,1,0
"@Ferry,Loft,2Bdrm/4bed.Private,Renovated/Stylish",Mark,Staten Island,Tompkinsville,40.63568,-74.07826,Entire home/apt,75,4,117,2019-07-01,4.31,3,173
UWS Studio Apt (Between Columbus & Amsterdam Ave),Roxanne,Manhattan,Upper West Side,40.78549,-73.97664,Entire home/apt,97,3,4,2017-04-16,0.14,1,0
Neat Room w/ 1 Bed,Christine,Queens,Bayside,40.75092,-73.75316,Private room,50,7,35,2019-06-24,1.29,5,145
Bayside Room w/ 2 Bed,Christine,Queens,Bayside,40.75136,-73.75269,Private room,60,7,30,2019-05-26,1.10,5,169
"Cozy, quiet apartment in trendy Greenpoint spot!",Chelsea,Brooklyn,Greenpoint,40.73018,-73.95464,Private room,50,7,1,2019-03-16,0.26,1,157
2-bedroom Apt on Kissena Park in NYC,Ann,Queens,Flushing,40.74923,-73.80568,Entire home/apt,229,1,22,2018-12-27,0.80,6,265
Sunny 1 bedroom in Nolita,Masha,Manhattan,Lower East Side,40.7203,-73.99172,Entire home/apt,150,2,18,2018-04-28,0.87,1,0
"Quiet, Large, & Cozy Bedroom in Cool Bushwick Apt",Anthony,Brooklyn,Bushwick,40.68643,-73.91465,Private room,50,1,3,2017-09-30,0.13,26,342
NYC pad without the NYC price tag,Ketty,Staten Island,Tompkinsville,40.63101,-74.08443,Entire home/apt,95,4,54,2018-09-24,2.06,1,0
Large bedroom in 3 bedroom apt UES,Michael,Manhattan,East Harlem,40.78866,-73.95435,Private room,62,3,3,2017-04-28,0.11,1,0
Beautiful private studio near central park,Lucia,Manhattan,East Harlem,40.80617,-73.9415,Entire home/apt,115,1,161,2019-06-23,5.78,2,156
Bedroom in fully renovated apartment,Norberto & Lana,Queens,Ridgewood,40.70336,-73.90991,Private room,55,1,41,2019-07-03,2.18,1,5
Brownstone with farmhouse charm,Corinne,Brooklyn,Crown Heights,40.67438,-73.94071,Entire home/apt,90,6,8,2018-07-24,0.35,1,8
Cozy room in West Harlem,Kathy,Manhattan,Harlem,40.83046,-73.94142,Private room,30,1,7,2017-08-21,0.25,1,0
Private room in East Harlem close to heart of NYC,Sophie,Manhattan,East Harlem,40.80113,-73.94283,Private room,100,2,0,,,1,0
CHIC LOFT IN CONVERTED FACTORY - NEAR 2 METROS,Luke & Madia,Brooklyn,Bushwick,40.70422,-73.92757,Private room,71,1,73,2019-06-21,2.61,3,364
ARTIST LOFT IN CONVERTED FACTORY - NEAR 2 METROS,Luke & Madia,Brooklyn,Bushwick,40.70276,-73.9271,Private room,70,1,59,2018-04-15,2.11,3,362
Brownstone studio near central park,Lucia,Manhattan,East Harlem,40.80623,-73.94047,Entire home/apt,115,1,134,2019-06-24,4.81,2,1
Bright Comfy Quiet Room Just 6 Mins from JFK!,Deloris,Queens,Springfield Gardens,40.666,-73.76333,Private room,65,1,325,2019-06-12,11.72,2,0
Shang Ri La Studio,Melissa,Queens,Rockaway Beach,40.58493,-73.81736,Entire home/apt,120,1,113,2019-06-25,4.07,2,133
Room in cute apartment in South Williamsburg,Molly,Brooklyn,Williamsburg,40.71168,-73.9657,Private room,100,5,2,2017-05-25,0.07,1,0
L Bright & Cozy & Modern room 30 mins to Manhattan,Olzhas,Brooklyn,Bedford-Stuyvesant,40.6921,-73.93502,Private room,59,1,181,2019-07-06,6.65,1,34
Relaxing Quiet Room Just 6 Mins from JFK Airport!,Deloris,Queens,Springfield Gardens,40.66535,-73.76367,Private room,65,1,368,2019-06-21,13.24,2,0
UWS Private Room & Bath,Carrie,Manhattan,Upper West Side,40.80171,-73.96623,Private room,89,5,55,2018-09-07,2.02,1,0
"SUPER HIGH END condo, roof deck, Ditmas Park Bklyn",Elizanda,Brooklyn,Kensington,40.63052,-73.97161,Private room,250,2,0,,,1,365
Elegant bedroom 8 mins-JFK&the mall,Yvonne,Queens,Jamaica,40.68615,-73.78747,Private room,80,1,177,2019-06-23,7.00,3,180
"Lovely 1 Bdrm, Glittering City Lights & Waterview",Juhea,Manhattan,Hell's Kitchen,40.76428,-73.9941,Entire home/apt,127,3,1,2017-05-12,0.04,1,0
PRIVATE BROOKLYN APT.  with quiet garden,Marco,Brooklyn,Bedford-Stuyvesant,40.68769,-73.95254,Private room,150,5,0,,,1,66
Spacious 2 bedroom w/ balcony. BrooklynNY NEAR ALL,Rosemary,Brooklyn,Flatlands,40.63159,-73.92724,Entire home/apt,170,2,3,2019-06-27,1.14,3,180
Room in SOHO! On Broome Street,Rosemarie,Manhattan,Nolita,40.72196,-73.99664,Private room,120,6,47,2019-07-03,2.54,1,40
Bunk Bed Fun Room - really cozy and affordable!,Erica,Brooklyn,Bushwick,40.69708,-73.91237,Private room,44,3,31,2019-07-01,1.11,1,365
Convenient LIC Brownstone,Daniel,Queens,Long Island City,40.7483,-73.94531,Private room,71,7,102,2019-04-15,3.66,2,173
Seperate Appartement in Appartement Bklyn Hights,Andreas,Brooklyn,Brooklyn Heights,40.69253,-73.99249,Private room,150,2,61,2019-06-16,2.36,1,117
The Maujer Patio,Michael,Brooklyn,Williamsburg,40.70973,-73.94552,Private room,75,2,0,,,1,0
Cute bedroom available near subway in Astoria!,Kerstin,Queens,Astoria,40.76529,-73.92304,Private room,53,2,14,2018-05-17,0.55,1,0
Nice room in  quiet 3BR apartment,Diamond,Brooklyn,Bushwick,40.69491,-73.91266,Private room,100,1,2,2018-01-01,0.09,1,269
Sunny Apartment In Brownstone 2BD with deck,Jenna,Brooklyn,Prospect Heights,40.67841,-73.9698,Entire home/apt,175,7,5,2018-10-25,0.18,1,0
Luxury/360 View/Gym/Downtown/Doorman,Christianne,Manhattan,East Village,40.72107,-73.98039,Entire home/apt,170,3,8,2019-05-27,0.36,1,111
Modest West Harlem Room Nearby Columbia University,Ari,Manhattan,Harlem,40.81733,-73.95413,Private room,25,1,0,,,1,0
PRIVATE ROOM near JFK & La Guardia,Luz,Queens,Jackson Heights,40.75125,-73.87644,Private room,51,1,108,2019-06-30,3.91,1,306
Manhattan Art Haven,Kelli,Manhattan,Upper East Side,40.76999,-73.94928,Entire home/apt,95,1,89,2019-06-21,3.72,1,0
Beautiful Loft Railroad apartment in Bushwick,Nico,Brooklyn,Bushwick,40.70432,-73.9267,Entire home/apt,94,2,51,2019-06-28,1.87,1,74
AG's Palace 1,Maura,Brooklyn,Canarsie,40.6427,-73.91266,Private room,69,1,20,2018-10-15,0.78,4,305
Gorgeous & Spacious UES apartment,Natasha,Manhattan,Upper East Side,40.77666,-73.95618,Private room,105,2,8,2018-06-16,0.30,1,0
East Village 1 Bdrm Price Negotiable Exposed Brick,Alejo,Manhattan,East Village,40.72856,-73.98125,Entire home/apt,79,2,1,2017-04-07,0.04,1,0
Room With A View,Lida,Queens,Sunnyside,40.7381,-73.91893,Private room,64,31,0,,,2,95
Cozy guest room in Brooklyn,Nick,Brooklyn,Crown Heights,40.67164,-73.95326,Private room,40,15,26,2019-06-03,0.93,4,67
Gorgeous East Harlem private room,TaSh,Manhattan,East Harlem,40.79295,-73.93808,Private room,62,3,21,2018-09-23,0.77,1,0
LARGE LUXURY DESIGNER WALL ST APARTMENT,E,Manhattan,Financial District,40.70552,-74.00941,Entire home/apt,110,7,32,2019-06-13,1.17,1,272
3 bedroom in the heart of the west village,Lauren,Manhattan,West Village,40.73581,-74.00666,Entire home/apt,185,4,22,2019-07-02,0.81,1,22
Vibrant Brownstone Penthouse Near Central Park,John,Manhattan,East Harlem,40.80726,-73.93815,Entire home/apt,177,2,130,2019-07-05,4.80,1,267
Bright 1 Bedroom Apartment in Brooklyn,Danielle,Brooklyn,Crown Heights,40.67541,-73.94917,Entire home/apt,110,2,4,2019-05-19,0.30,1,0
"Perfect 1 Bdrm Touring Apt, Midtown, Close to ALL!",Carissa,Manhattan,Murray Hill,40.74891,-73.97846,Entire home/apt,235,3,0,,,1,0
"Private room in UES:Ideal Location, Private &Quiet",Cinthya,Manhattan,Upper East Side,40.78311,-73.95299,Private room,80,3,85,2019-05-26,3.06,1,28
Room rent for close to Manhattan,Sandra,Queens,Astoria,40.77411,-73.92731,Private room,53,5,47,2019-06-23,1.76,1,5
"Bedroom in Park Slope, 20 min to city",Ludvig,Brooklyn,Park Slope,40.67148,-73.97766,Private room,95,9,4,2017-11-11,0.18,1,0
Cozy Studio on the Upper East Side!,Kara,Manhattan,Upper East Side,40.76138,-73.9598,Entire home/apt,115,30,1,2017-09-30,0.05,121,336
"Airy, Private Room in an Artistic Apartment",Amandine,Brooklyn,Prospect-Lefferts Gardens,40.65749,-73.95511,Private room,65,2,0,,,1,0
NEWLY FURNISHED Studio at Park Avenue South,Krysia,Manhattan,Midtown,40.74397,-73.98405,Entire home/apt,130,4,5,2018-09-02,0.19,2,0
"Heart of East Village, Middle of Everything",Sean,Manhattan,East Village,40.72552,-73.98657,Private room,79,4,1,2017-05-13,0.04,1,0
2 bedroom with patio in clinton hill,Carri,Brooklyn,Clinton Hill,40.69422,-73.96565,Entire home/apt,107,2,5,2017-05-30,0.18,1,0
Shabby chic Studio 1 Block from McGolrick Park,Matthew,Brooklyn,Greenpoint,40.7233,-73.94187,Entire home/apt,116,1,9,2017-04-30,0.32,1,0
Dreamy & Flowery Bedstuy Bedroom,Karly,Brooklyn,Bedford-Stuyvesant,40.69461,-73.94825,Private room,47,3,5,2017-08-14,0.20,2,0
Lovely Bedroom in heart of East Village,Caitlin,Manhattan,East Village,40.72771,-73.98983,Private room,100,2,66,2019-06-12,2.39,3,27
All in one place (A),Silvia,Brooklyn,East New York,40.6754,-73.88989,Private room,75,3,71,2019-06-10,2.61,8,360
Big & Sunny Apartment in Williamsburg,Jason,Brooklyn,Williamsburg,40.71666,-73.94562,Entire home/apt,160,5,10,2017-09-27,0.37,1,0
Spacious 3BR Brownstone with HUGE backyard,Kate,Brooklyn,Crown Heights,40.67091,-73.94888,Entire home/apt,275,4,6,2019-07-06,0.26,1,96
Apartment of Musicians in Ditmas Park,Gabriel,Brooklyn,Flatbush,40.64807,-73.96625,Private room,22,3,2,2018-03-05,0.08,1,0
Private Room in 2 Bedroom Apartment by the Sea,Anna,Brooklyn,Brighton Beach,40.58186,-73.9602,Private room,60,1,2,2019-02-11,0.07,4,1
Manhattan/ Center of Manhattan,Marcy,Manhattan,Harlem,40.81213,-73.9395,Entire home/apt,70,4,9,2018-07-02,0.44,1,0
TWO PRIVATE ROOMS in apt share,Jim,Brooklyn,South Slope,40.66424,-73.98395,Private room,100,3,6,2019-05-07,0.23,2,179
Sunny Top Floor Room with Manhattan skyline view,Lene,Brooklyn,Bedford-Stuyvesant,40.68144,-73.9426,Private room,55,5,0,,,1,0
CUTE ROOM - Times Square-19minutes,Shah Memo,Manhattan,Harlem,40.81703,-73.9525,Private room,64,2,8,2019-06-23,0.29,3,98
Great Washington Heights Private Bedroom in a 4 BR,Markus,Manhattan,Washington Heights,40.84545,-73.93809,Private room,47,3,4,2018-08-13,0.16,1,0
Home away from home in the heart of Chelsea,Jaime,Manhattan,Chelsea,40.74107,-73.99936,Entire home/apt,250,2,2,2017-04-21,0.07,1,0
Williamsburg Dream Home,Florent,Brooklyn,Williamsburg,40.71724,-73.94492,Entire home/apt,190,15,8,2019-06-09,0.31,1,198
1st flr full studio apartment- entire place/SAFE,Yerddy,Bronx,Kingsbridge,40.8781,-73.89998,Entire home/apt,99,3,116,2019-06-22,4.35,2,86
"Art, Design & Comfort.",Assane,Brooklyn,Bedford-Stuyvesant,40.68309,-73.95249,Private room,88,7,6,2018-10-28,0.33,2,82
Brooklyn Chic,Tonie,Brooklyn,Bedford-Stuyvesant,40.6905,-73.94375,Private room,100,1,0,,,2,130
Columbus Circle Lincoln center Central park,Ronnie,Manhattan,Upper West Side,40.77048,-73.98252,Private room,250,3,11,2019-04-21,0.42,1,17
"Large & Sunny, a Lovely 2-Bed Apt in East Village",Caitlin,Manhattan,East Village,40.72571,-73.98789,Entire home/apt,250,2,8,2019-06-02,0.32,3,264
Trendy Apt in Historic Brooklyn Heights,John,Brooklyn,Brooklyn Heights,40.69564,-73.99691,Entire home/apt,150,3,26,2019-05-27,0.95,1,0
MIDTOWN * UNICORN * TOWNHOUSE!!,Matthew,Manhattan,Hell's Kitchen,40.76616,-73.98916,Entire home/apt,484,2,107,2019-06-23,3.95,1,46
Small room in South Slope House,Martha,Brooklyn,South Slope,40.6632,-73.98529,Private room,50,1,19,2017-06-12,0.71,1,0
Cosy Midtown Studio,Phil,Manhattan,Midtown,40.75794,-73.96959,Entire home/apt,141,8,12,2018-02-02,0.44,1,0
Spacious 1bd in the heart of Midtown High Rise  !,Terry,Manhattan,Midtown,40.76352,-73.9831,Entire home/apt,199,2,70,2019-06-15,2.65,1,263
Quiet Home in Manhattan,Adam,Manhattan,Morningside Heights,40.81473,-73.96217,Entire home/apt,140,2,2,2018-05-07,0.14,1,0
Cozy Room in Harlem,Anselmo,Manhattan,Harlem,40.8217,-73.93751,Private room,79,2,36,2019-06-30,3.17,1,218
Sunny Brooklyn Apartment with Full Kitchen,Jeanette,Brooklyn,Navy Yard,40.69851,-73.96961,Entire home/apt,142,2,3,2017-08-28,0.11,1,0
Spacious Bedroom with Private Bathroom,Viona,Brooklyn,Bedford-Stuyvesant,40.68656,-73.9522,Private room,80,1,3,2017-10-01,0.11,1,0
perfect apartment in New york with 3 bedrooms,Duryea,Manhattan,Chelsea,40.75538,-74.00441,Shared room,337,27,0,,,1,365
Private Room Near Bronx Zoo and NYBG!,Julia,Bronx,Pelham Gardens,40.86437,-73.8485,Private room,47,2,40,2019-04-16,1.58,2,339
Sunny room in spacious Williamsburg Loft!,Anna,Brooklyn,Williamsburg,40.71647,-73.95971,Private room,65,20,1,2017-06-01,0.04,2,0
"New 1 Bedroom, Clean, Modern Apartment",Narina,Manhattan,Harlem,40.81217,-73.94056,Entire home/apt,149,3,80,2019-06-24,2.92,2,268
Architect-Designed Brooklyn Townhouse,Elana,Brooklyn,Crown Heights,40.67933,-73.96305,Entire home/apt,300,5,3,2018-08-12,0.12,1,0
Quiet 1 Br Apartent in Historical Brooklyn Heights,Anastasia,Brooklyn,Brooklyn Heights,40.6961,-73.99329,Private room,159,2,5,2018-11-16,0.19,1,363
The Blue Room,Shahar,Brooklyn,Clinton Hill,40.68352,-73.96771,Private room,60,3,9,2019-04-22,0.34,2,6
Beautiful Sunlit Room in Brooklyn,Divina,Brooklyn,Bushwick,40.70219,-73.93115,Private room,50,3,2,2018-01-07,0.07,1,0
Super Cozy Luxury Apt,Heidi,Manhattan,Financial District,40.70464,-74.00715,Entire home/apt,220,2,108,2019-07-01,3.92,1,225
Manhattan Club (1 bedroom/Sleeps 4),Ana,Manhattan,Midtown,40.76587,-73.98211,Entire home/apt,380,4,0,,,1,0
THE CREATIVE COZY ROOM,Janessa,Brooklyn,Sheepshead Bay,40.59211,-73.94127,Private room,99,1,13,2019-05-23,0.52,1,82
"Greenpoint, BK 1 Bedroom, Couple/Solo Traveler",Daniela,Brooklyn,Greenpoint,40.72428,-73.94686,Entire home/apt,120,3,8,2019-06-21,1.28,1,3
Fully Furnish Fancy Alcove Studio in Manhattan,Sonia,Manhattan,Upper East Side,40.76987,-73.95111,Entire home/apt,110,14,4,2019-07-06,0.36,1,221
Convenient location Private room,Low,Queens,Jamaica,40.67414,-73.76454,Private room,50,7,14,2018-07-28,0.50,2,0
"12min to NY & 10minLGA/30minJFK, Fit Mem for 1mth+",Lisa,Queens,Astoria,40.75615,-73.91281,Private room,30,90,2,2017-07-01,0.08,4,341
Beautiful Room in Styvesant Heights Brooklyn,Eve,Brooklyn,Bushwick,40.69723,-73.92511,Private room,60,5,22,2019-06-17,0.96,2,175
"Coney Island Private Apt*** Wi Fi, LCD TV MCU Park",Ed,Brooklyn,Coney Island,40.57706,-73.98439,Entire home/apt,110,2,57,2019-05-27,2.13,6,144
Harlem apt,Ali,Manhattan,Harlem,40.80533,-73.95049,Private room,75,1,2,2019-02-17,0.40,1,280
Cozy 2-Bedroom in Williamsburg by the bridge,Terry,Brooklyn,Williamsburg,40.71185,-73.95806,Entire home/apt,100,20,10,2018-12-22,0.42,1,45
Private room in a peaceful home ❤,Christopher,Manhattan,East Harlem,40.79274,-73.94286,Private room,65,1,81,2018-04-21,2.93,1,0
Nice private room in quiet E Village apt,Michael,Manhattan,East Village,40.73057,-73.986,Private room,125,2,21,2019-07-01,0.77,2,329
little place in Bushwick,Miranda,Brooklyn,Bushwick,40.69377,-73.91269,Private room,40,5,84,2019-07-05,3.04,2,316
Spacious Garden Apartment Private Entrance,Yahaira,Bronx,Allerton,40.86868,-73.85483,Entire home/apt,105,2,73,2019-06-13,2.67,5,87
Bright Williamsburg Apt Steps from Train,Katharine,Brooklyn,Williamsburg,40.70937,-73.95903,Entire home/apt,115,4,6,2017-09-20,0.22,1,0
Huge Studio Apt+Sleeps 4 ppl Bklyn Near ALL,Rosemary,Brooklyn,Flatlands,40.62723,-73.92635,Entire home/apt,75,2,38,2019-06-30,1.38,3,363
Amazing Space For Your Chelsea Stay,Pablo,Manhattan,Chelsea,40.74119,-74.0006,Private room,429,2,119,2019-06-17,4.33,1,288
Spacious New York City Travelers Getaway,Zain,Bronx,Kingsbridge,40.8709,-73.89946,Shared room,60,2,11,2019-01-01,0.52,4,365
Nurturing room in a 3 bedroom apt.,Calia,Brooklyn,Crown Heights,40.67689,-73.95079,Private room,30,3,3,2017-04-19,0.11,1,0
Charming studio with Manhattan view.,Maria,Brooklyn,Greenpoint,40.72449,-73.94486,Private room,84,7,7,2019-01-02,0.26,1,24
Cozy Room in the Heart of Chinatown,Randy,Manhattan,Chinatown,40.71326,-73.99698,Private room,75,2,59,2019-06-25,2.21,1,68
